Classification level,code,food group,grams,%
Sub-major,194,Cheese,5.9,6.4
Sub-major,195,Frozen milk products,1.8,1.9
Sub-major,196,Custards,0.1,0.1
Sub-major,197,Other dishes where milk or a milk product is the major component,0.2,0.2
Sub-major,198,Flavoured milks and milkshakes,0.6,0.7
Major,20,Dairy & meat substitutes,0.4,0.5
Sub-major,201,"Dairy milk substitutes, unflavoured",0.3,0.3
Sub-major,202,"Dairy milk substitutes, flavoured",0,0
Sub-major,203,Cheese substitute,0,0
Sub-major,204,Soy-based ice confection,0,0
Sub-major,205,Soy-based yoghurts,0,0
Sub-major,206,Meat substitutes,0.1,0.1
Sub-major,207,Dishes where meat substitutes are the major component,0,0
Major,21,Soup,0.1,0.1
Sub-major,212,Dry soup mix,0,0
Sub-major,214,Canned condensed soup (unprepared),0,0
Sub-major,215,"Soup, commercially sterile, ready to eat",0,0
Sub-major,216,"Soup, not commercially sterile, purchased ready to eat",0,0
Major,22,Seed and nut products and dishes,5,5.5
Sub-major,221,Seeds and seed products,0.2,0.3
Sub-major,222,Nuts and nut products,4.8,5.2
Major,23,Savoury sauces and condiments,3.2,3.5
Sub-major,231,Gravies and savoury sauces,0.5,0.6
Sub-major,232,"Pickles, chutneys and relishes",0.2,0.2
Sub-major,233,Salad dressings,1.8,2
Sub-major,234,Stuffings,0,0
Sub-major,235,Dips,0.7,0.7
Major,24,Vegetable products and dishes,2.7,2.9
Sub-major,241,Potatoes,1,1.1
Sub-major,242,"Cabbage, cauliflower and similar brassica vegetables",0,0
Sub-major,243,Carrot and similar root vegetables,0,0.1
Sub-major,244,Leaf and stalk vegetables,0,0
Sub-major,245,Peas and beans,0,0
Sub-major,246,Tomato and tomato products,0,0
Sub-major,247,Other fruiting vegetables,1.2,1.3
Sub-major,248,Other vegetables and vegetable combinations,0.1,0.1
Sub-major,249,Dishes where vegetable is the major component,0.3,0.3
Major,25,Legume and pulse products and dishes,0.1,0.1
Sub-major,251,Mature legumes and pulses,0.1,0.1
Sub-major,252,Mature legume and pulse products and dishes,0,0
Major,26,Snack foods,3.7,4
Sub-major,261,Potato snacks,2.1,2.3
Sub-major,262,Corn snacks,0.9,0.9
Sub-major,263,Extruded or reformed snacks,0.4,0.5
Sub-major,264,Other snacks,0.3,0.3
Major,27,Sugar products and dishes,0.5,0.6
Sub-major,271,"Sugar, honey and syrups",0,0
Sub-major,272,"Jam and lemon spreads, chocolate spreads, sauces",0.3,0.4
Sub-major,273,Dishes and products other than confectionery where sugar is the major component,0.2,0.2
Major,28,Confectionery and cereal/nut/fruit/seed bars,5,5.4
Sub-major,281,Chocolate and chocolate-based confectionery,4.3,4.7
Sub-major,282,"Fruit, nut and seed-bars",0.1,0.1
Sub-major,283,Muesli or cereal style bars,0.5,0.6
Sub-major,284,Other confectionery,0.1,0.1
Major,29,Alcoholic beverages(d),n.a,n.a
Major,30,Special dietary foods,0,0
Sub-major,301,Formula dietary foods,0,0
Major,31,Miscellaneous,0.1,0.1
Sub-major,311,Yeast and yeast vegetable or meat extracts,0,0
Sub-major,312,Intense sweetening agents,0,0
Sub-major,313,"Herbs, spices, seasonings and stock cubes",0.1,0.1
Sub-major,314,Essences,0,0
Sub-major,315,Chemical raising agents and cooking ingredients,0,0
Major,32,Infant formulae and foods,0.1,0.1
Sub-major,321,Infant formulae,0.1,0.1
Sub-major,322,Infant cereal products,0,0
Sub-major,323,Infant foods,0,0
Sub-major,324,Infant drinks,0,0
